sample_tag,region_id,region_name,sample_point_count,expected_point_count,unmapped_count,unmapped_ratio,raw_unmapped_count,raw_unmapped_ratio,raw_status,repaired_unmapped_count,repair_count,repair_applied,salvage_attempted,salvage_accepted,salvage_rejection_reason,flipped_faces,degenerate_faces,patch_face_count,remesh_face_count,status,sample_id,side,figure_path,error
T078_L,T002,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,24333,0,24333,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T002_qc.png,
T078_L,T003,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,15900,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T003_qc.png,
T078_L,T004,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,2746,0,2746,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T004_qc.png,
T078_L,T005,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,7350,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T005_qc.png,
T078_L,T006,test,325,325,0,0.0,4,0.012307692307692308,WARNING,0,4,True,False,False,,2813,0,2813,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T006_qc.png,
T078_L,T007,test,325,325,0,0.0,17,0.052307692307692305,WARNING,0,17,True,False,False,,0,0,1493,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T007_qc.png,
T078_L,T008,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,0,0,11036,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T008_qc.png,
T078_L,T009,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,6733,0,6733,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T009_qc.png,
T078_L,T010,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,3638,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T010_qc.png,
T078_L,T011,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,6705,0,6705,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T011_qc.png,
T078_L,T012,test,325,325,0,0.0,9,0.027692307692307693,WARNING,0,9,True,False,False,,0,0,1545,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T012_qc.png,
T078_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,24021,0,24021,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T013_qc.png,
T078_L,T014,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,8371,0,8371,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T014_qc.png,
T078_L,T015,test,325,325,167,0.5138461538461538,167,0.5138461538461538,FAIL,167,0,False,False,False,unmapped_ratio,0,0,405,576,FAIL,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T015_qc.png,
T049_L,T001,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,5841,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T001_qc.png,
T049_L,T002,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,18906,0,18906,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T002_qc.png,
T049_L,T003,test,325,325,0,0.0,90,0.27692307692307694,FAIL,0,90,True,True,True,,0,0,505,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T003_qc.png,
T049_L,T004,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,24959,0,24959,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T004_qc.png,
T049_L,T005,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,9470,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T005_qc.png,
T049_L,T006,test,325,325,0,0.0,9,0.027692307692307693,WARNING,0,9,True,False,False,,2295,0,2295,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T006_qc.png,
T049_L,T007,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,2407,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T007_qc.png,
T049_L,T008,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,8902,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T008_qc.png,
T049_L,T009,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,24830,0,24830,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T009_qc.png,
T049_L,T010,test,325,325,0,0.0,8,0.024615384615384615,WARNING,0,8,True,False,False,,0,0,1725,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T010_qc.png,
T049_L,T011,test,325,325,0,0.0,16,0.04923076923076923,WARNING,0,16,True,False,False,,4802,0,4802,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T011_qc.png,
T049_L,T012,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,2035,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T012_qc.png,
T049_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,3077,0,3077,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T013_qc.png,
T049_L,T014,test,325,325,0,0.0,7,0.021538461538461538,WARNING,0,7,True,False,False,,13641,0,13641,576,PASS,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T014_qc.png,
T049_L,T015,test,325,325,307,0.9446153846153846,307,0.9446153846153846,FAIL,307,0,False,False,False,unmapped_ratio,14,0,14,576,FAIL,T049,L,output\qc_visualizations_r24\salvaged\T049_L\T015_qc.png,
T088_L,T001,test,325,325,0,0.0,5,0.015384615384615385,WARNING,0,5,True,False,False,,0,0,4502,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T001_qc.png,
T088_L,T002,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,15909,0,15909,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T002_qc.png,
T088_L,T003,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,13013,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T003_qc.png,
T088_L,T004,test,325,325,0,0.0,38,0.11692307692307692,WARNING,0,38,True,False,False,,1621,0,1621,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T004_qc.png,
T088_L,T005,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,10843,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T005_qc.png,
T088_L,T006,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,2005,0,2005,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T006_qc.png,
T088_L,T007,test,325,325,0,0.0,16,0.04923076923076923,WARNING,0,16,True,False,False,,0,0,2288,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T007_qc.png,
T088_L,T008,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,0,0,16372,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T008_qc.png,
T088_L,T009,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,17585,0,17585,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T009_qc.png,
T088_L,T010,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,4772,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T010_qc.png,
T088_L,T011,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,8872,0,8872,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T011_qc.png,
T088_L,T012,test,325,325,0,0.0,7,0.021538461538461538,WARNING,0,7,True,False,False,,0,0,1141,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T012_qc.png,
T088_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,8595,0,8595,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T013_qc.png,
T088_L,T014,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,8325,0,8325,576,PASS,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T014_qc.png,
T088_L,T015,test,325,325,164,0.5046153846153846,164,0.5046153846153846,FAIL,164,0,False,False,False,unmapped_ratio,143,0,143,576,FAIL,T088,L,output\qc_visualizations_r24\salvaged\T088_L\T015_qc.png,
T094_L,T001,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,3740,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T001_qc.png,
T094_L,T002,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,19323,0,19323,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T002_qc.png,
T094_L,T003,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,21080,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T003_qc.png,
T094_L,T004,test,325,325,0,0.0,23,0.07076923076923076,WARNING,0,23,True,False,False,,2683,0,2683,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T004_qc.png,
T094_L,T005,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,7586,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T005_qc.png,
T094_L,T006,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,3213,0,3213,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T006_qc.png,
T094_L,T007,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,1933,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T007_qc.png,
T094_L,T008,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,30523,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T008_qc.png,
T094_L,T009,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,10375,0,10375,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T009_qc.png,
T094_L,T010,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,4020,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T010_qc.png,
T094_L,T011,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,20804,0,20804,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T011_qc.png,
T094_L,T012,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,3207,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T012_qc.png,
T094_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,6289,0,6289,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T013_qc.png,
T094_L,T014,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,6812,0,6812,576,PASS,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T014_qc.png,
