sample_id,side,region_id,region_name,face_id,local_v0,local_v1,local_v2,global_v0,global_v1,global_v2
T078,L,T004,test,0,0,9,1,135,144,136
T078,L,T004,test,1,9,10,1,144,145,136
T078,L,T004,test,2,1,10,2,136,145,137
T078,L,T004,test,3,10,11,2,145,146,137
T078,L,T004,test,4,2,11,3,137,146,138
T078,L,T004,test,5,11,12,3,146,147,138
T078,L,T004,test,6,3,12,4,138,147,139
T078,L,T004,test,7,12,13,4,147,148,139
T078,L,T004,test,8,4,13,5,139,148,140
T078,L,T004,test,9,13,14,5,148,149,140
T078,L,T004,test,10,5,14,6,140,149,141
T078,L,T004,test,11,14,15,6,149,150,141
T078,L,T004,test,12,6,15,7,141,150,142
T078,L,T004,test,13,15,16,7,150,151,142
T078,L,T004,test,14,7,16,8,142,151,143
T078,L,T004,test,15,9,17,10,144,152,145
T078,L,T004,test,16,17,18,10,152,153,145
T078,L,T004,test,17,10,18,11,145,153,146
T078,L,T004,test,18,18,19,11,153,154,146
T078,L,T004,test,19,11,19,12,146,154,147
T078,L,T004,test,20,19,20,12,154,155,147
T078,L,T004,test,21,12,20,13,147,155,148
T078,L,T004,test,22,20,21,13,155,156,148
T078,L,T004,test,23,13,21,14,148,156,149
T078,L,T004,test,24,21,22,14,156,157,149
T078,L,T004,test,25,14,22,15,149,157,150
T078,L,T004,test,26,22,23,15,157,158,150
T078,L,T004,test,27,15,23,16,150,158,151
T078,L,T004,test,28,17,24,18,152,159,153
T078,L,T004,test,29,24,25,18,159,160,153
T078,L,T004,test,30,18,25,19,153,160,154
T078,L,T004,test,31,25,26,19,160,161,154
T078,L,T004,test,32,19,26,20,154,161,155
T078,L,T004,test,33,26,27,20,161,162,155
T078,L,T004,test,34,20,27,21,155,162,156
T078,L,T004,test,35,27,28,21,162,163,156
T078,L,T004,test,36,21,28,22,156,163,157
T078,L,T004,test,37,28,29,22,163,164,157
T078,L,T004,test,38,22,29,23,157,164,158
T078,L,T004,test,39,24,30,25,159,165,160
T078,L,T004,test,40,30,31,25,165,166,160
T078,L,T004,test,41,25,31,26,160,166,161
T078,L,T004,test,42,31,32,26,166,167,161
T078,L,T004,test,43,26,32,27,161,167,162
T078,L,T004,test,44,32,33,27,167,168,162
T078,L,T004,test,45,27,33,28,162,168,163
T078,L,T004,test,46,33,34,28,168,169,163
T078,L,T004,test,47,28,34,29,163,169,164
T078,L,T004,test,48,30,35,31,165,170,166
T078,L,T004,test,49,35,36,31,170,171,166
T078,L,T004,test,50,31,36,32,166,171,167
T078,L,T004,test,51,36,37,32,171,172,167
T078,L,T004,test,52,32,37,33,167,172,168
T078,L,T004,test,53,37,38,33,172,173,168
T078,L,T004,test,54,33,38,34,168,173,169
T078,L,T004,test,55,35,39,36,170,174,171
T078,L,T004,test,56,39,40,36,174,175,171
T078,L,T004,test,57,36,40,37,171,175,172
T078,L,T004,test,58,40,41,37,175,176,172
T078,L,T004,test,59,37,41,38,172,176,173
T078,L,T004,test,60,39,42,40,174,177,175
T078,L,T004,test,61,42,43,40,177,178,175
T078,L,T004,test,62,40,43,41,175,178,176
T078,L,T004,test,63,42,44,43,177,179,178
T078,L,T005,test,0,0,9,1,180,189,181
T078,L,T005,test,1,9,10,1,189,190,181
T078,L,T005,test,2,1,10,2,181,190,182
T078,L,T005,test,3,10,11,2,190,191,182
T078,L,T005,test,4,2,11,3,182,191,183
T078,L,T005,test,5,11,12,3,191,192,183
T078,L,T005,test,6,3,12,4,183,192,184
T078,L,T005,test,7,12,13,4,192,193,184
T078,L,T005,test,8,4,13,5,184,193,185
T078,L,T005,test,9,13,14,5,193,194,185
T078,L,T005,test,10,5,14,6,185,194,186
T078,L,T005,test,11,14,15,6,194,195,186
T078,L,T005,test,12,6,15,7,186,195,187
T078,L,T005,test,13,15,16,7,195,196,187
T078,L,T005,test,14,7,16,8,187,196,188
T078,L,T005,test,15,9,17,10,189,197,190
T078,L,T005,test,16,17,18,10,197,198,190
T078,L,T005,test,17,10,18,11,190,198,191
T078,L,T005,test,18,18,19,11,198,199,191
T078,L,T005,test,19,11,19,12,191,199,192
T078,L,T005,test,20,19,20,12,199,200,192
T078,L,T005,test,21,12,20,13,192,200,193
T078,L,T005,test,22,20,21,13,200,201,193
T078,L,T005,test,23,13,21,14,193,201,194
T078,L,T005,test,24,21,22,14,201,202,194
T078,L,T005,test,25,14,22,15,194,202,195
T078,L,T005,test,26,22,23,15,202,203,195
T078,L,T005,test,27,15,23,16,195,203,196
T078,L,T005,test,28,17,24,18,197,204,198
T078,L,T005,test,29,24,25,18,204,205,198
T078,L,T005,test,30,18,25,19,198,205,199
T078,L,T005,test,31,25,26,19,205,206,199
T078,L,T005,test,32,19,26,20,199,206,200
T078,L,T005,test,33,26,27,20,206,207,200
T078,L,T005,test,34,20,27,21,200,207,201
T078,L,T005,test,35,27,28,21,207,208,201
T078,L,T005,test,36,21,28,22,201,208,202
T078,L,T005,test,37,28,29,22,208,209,202
T078,L,T005,test,38,22,29,23,202,209,203
T078,L,T005,test,39,24,30,25,204,210,205
T078,L,T005,test,40,30,31,25,210,211,205
T078,L,T005,test,41,25,31,26,205,211,206
T078,L,T005,test,42,31,32,26,211,212,206
T078,L,T005,test,43,26,32,27,206,212,207
T078,L,T005,test,44,32,33,27,212,213,207
T078,L,T005,test,45,27,33,28,207,213,208
T078,L,T005,test,46,33,34,28,213,214,208
T078,L,T005,test,47,28,34,29,208,214,209
T078,L,T005,test,48,30,35,31,210,215,211
T078,L,T005,test,49,35,36,31,215,216,211
T078,L,T005,test,50,31,36,32,211,216,212
T078,L,T005,test,51,36,37,32,216,217,212
T078,L,T005,test,52,32,37,33,212,217,213
T078,L,T005,test,53,37,38,33,217,218,213
T078,L,T005,test,54,33,38,34,213,218,214
T078,L,T005,test,55,35,39,36,215,219,216
T078,L,T005,test,56,39,40,36,219,220,216
T078,L,T005,test,57,36,40,37,216,220,217
T078,L,T005,test,58,40,41,37,220,221,217
T078,L,T005,test,59,37,41,38,217,221,218
T078,L,T005,test,60,39,42,40,219,222,220
T078,L,T005,test,61,42,43,40,222,223,220
T078,L,T005,test,62,40,43,41,220,223,221
T078,L,T005,test,63,42,44,43,222,224,223
T078,L,T006,test,0,0,9,1,225,234,226
T078,L,T006,test,1,9,10,1,234,235,226
T078,L,T006,test,2,1,10,2,226,235,227
T078,L,T006,test,3,10,11,2,235,236,227
T078,L,T006,test,4,2,11,3,227,236,228
T078,L,T006,test,5,11,12,3,236,237,228
T078,L,T006,test,6,3,12,4,228,237,229
T078,L,T006,test,7,12,13,4,237,238,229
T078,L,T006,test,8,4,13,5,229,238,230
T078,L,T006,test,9,13,14,5,238,239,230
T078,L,T006,test,10,5,14,6,230,239,231
T078,L,T006,test,11,14,15,6,239,240,231
T078,L,T006,test,12,6,15,7,231,240,232
T078,L,T006,test,13,15,16,7,240,241,232
T078,L,T006,test,14,7,16,8,232,241,233
T078,L,T006,test,15,9,17,10,234,242,235
T078,L,T006,test,16,17,18,10,242,243,235
T078,L,T006,test,17,10,18,11,235,243,236
T078,L,T006,test,18,18,19,11,243,244,236
T078,L,T006,test,19,11,19,12,236,244,237
T078,L,T006,test,20,19,20,12,244,245,237
T078,L,T006,test,21,12,20,13,237,245,238
T078,L,T006,test,22,20,21,13,245,246,238
T078,L,T006,test,23,13,21,14,238,246,239
T078,L,T006,test,24,21,22,14,246,247,239
T078,L,T006,test,25,14,22,15,239,247,240
T078,L,T006,test,26,22,23,15,247,248,240
T078,L,T006,test,27,15,23,16,240,248,241
T078,L,T006,test,28,17,24,18,242,249,243
T078,L,T006,test,29,24,25,18,249,250,243
T078,L,T006,test,30,18,25,19,243,250,244
T078,L,T006,test,31,25,26,19,250,251,244
T078,L,T006,test,32,19,26,20,244,251,245
T078,L,T006,test,33,26,27,20,251,252,245
T078,L,T006,test,34,20,27,21,245,252,246
T078,L,T006,test,35,27,28,21,252,253,246
T078,L,T006,test,36,21,28,22,246,253,247
T078,L,T006,test,37,28,29,22,253,254,247
T078,L,T006,test,38,22,29,23,247,254,248
T078,L,T006,test,39,24,30,25,249,255,250
T078,L,T006,test,40,30,31,25,255,256,250
T078,L,T006,test,41,25,31,26,250,256,251
T078,L,T006,test,42,31,32,26,256,257,251
T078,L,T006,test,43,26,32,27,251,257,252
T078,L,T006,test,44,32,33,27,257,258,252
T078,L,T006,test,45,27,33,28,252,258,253
T078,L,T006,test,46,33,34,28,258,259,253
T078,L,T006,test,47,28,34,29,253,259,254
T078,L,T006,test,48,30,35,31,255,260,256
T078,L,T006,test,49,35,36,31,260,261,256
T078,L,T006,test,50,31,36,32,256,261,257
T078,L,T006,test,51,36,37,32,261,262,257
T078,L,T006,test,52,32,37,33,257,262,258
T078,L,T006,test,53,37,38,33,262,263,258
T078,L,T006,test,54,33,38,34,258,263,259
T078,L,T006,test,55,35,39,36,260,264,261
T078,L,T006,test,56,39,40,36,264,265,261
T078,L,T006,test,57,36,40,37,261,265,262
T078,L,T006,test,58,40,41,37,265,266,262
T078,L,T006,test,59,37,41,38,262,266,263
T078,L,T006,test,60,39,42,40,264,267,265
T078,L,T006,test,61,42,43,40,267,268,265
T078,L,T006,test,62,40,43,41,265,268,266
T078,L,T006,test,63,42,44,43,267,269,268
T078,L,T007,test,0,0,9,1,270,279,271
T078,L,T007,test,1,9,10,1,279,280,271
T078,L,T007,test,2,1,10,2,271,280,272
T078,L,T007,test,3,10,11,2,280,281,272
T078,L,T007,test,4,2,11,3,272,281,273
T078,L,T007,test,5,11,12,3,281,282,273
T078,L,T007,test,6,3,12,4,273,282,274
T078,L,T007,test,7,12,13,4,282,283,274
T078,L,T007,test,8,4,13,5,274,283,275
T078,L,T007,test,9,13,14,5,283,284,275
T078,L,T007,test,10,5,14,6,275,284,276
T078,L,T007,test,11,14,15,6,284,285,276
T078,L,T007,test,12,6,15,7,276,285,277
T078,L,T007,test,13,15,16,7,285,286,277
T078,L,T007,test,14,7,16,8,277,286,278
T078,L,T007,test,15,9,17,10,279,287,280
T078,L,T007,test,16,17,18,10,287,288,280
T078,L,T007,test,17,10,18,11,280,288,281
T078,L,T007,test,18,18,19,11,288,289,281
T078,L,T007,test,19,11,19,12,281,289,282
T078,L,T007,test,20,19,20,12,289,290,282
T078,L,T007,test,21,12,20,13,282,290,283
T078,L,T007,test,22,20,21,13,290,291,283
T078,L,T007,test,23,13,21,14,283,291,284
T078,L,T007,test,24,21,22,14,291,292,284
T078,L,T007,test,25,14,22,15,284,292,285
T078,L,T007,test,26,22,23,15,292,293,285
T078,L,T007,test,27,15,23,16,285,293,286
T078,L,T007,test,28,17,24,18,287,294,288
T078,L,T007,test,29,24,25,18,294,295,288
T078,L,T007,test,30,18,25,19,288,295,289
T078,L,T007,test,31,25,26,19,295,296,289
T078,L,T007,test,32,19,26,20,289,296,290
T078,L,T007,test,33,26,27,20,296,297,290
T078,L,T007,test,34,20,27,21,290,297,291
T078,L,T007,test,35,27,28,21,297,298,291
T078,L,T007,test,36,21,28,22,291,298,292
T078,L,T007,test,37,28,29,22,298,299,292
T078,L,T007,test,38,22,29,23,292,299,293
T078,L,T007,test,39,24,30,25,294,300,295
T078,L,T007,test,40,30,31,25,300,301,295
T078,L,T007,test,41,25,31,26,295,301,296
T078,L,T007,test,42,31,32,26,301,302,296
T078,L,T007,test,43,26,32,27,296,302,297
T078,L,T007,test,44,32,33,27,302,303,297
T078,L,T007,test,45,27,33,28,297,303,298
T078,L,T007,test,46,33,34,28,303,304,298
T078,L,T007,test,47,28,34,29,298,304,299
T078,L,T007,test,48,30,35,31,300,305,301
T078,L,T007,test,49,35,36,31,305,306,301
T078,L,T007,test,50,31,36,32,301,306,302
T078,L,T007,test,51,36,37,32,306,307,302
T078,L,T007,test,52,32,37,33,302,307,303
T078,L,T007,test,53,37,38,33,307,308,303
T078,L,T007,test,54,33,38,34,303,308,304
T078,L,T007,test,55,35,39,36,305,309,306
T078,L,T007,test,56,39,40,36,309,310,306
T078,L,T007,test,57,36,40,37,306,310,307
T078,L,T007,test,58,40,41,37,310,311,307
T078,L,T007,test,59,37,41,38,307,311,308
T078,L,T007,test,60,39,42,40,309,312,310
T078,L,T007,test,61,42,43,40,312,313,310
T078,L,T007,test,62,40,43,41,310,313,311
T078,L,T007,test,63,42,44,43,312,314,313
T078,L,T008,test,0,0,9,1,315,324,316
T078,L,T008,test,1,9,10,1,324,325,316
T078,L,T008,test,2,1,10,2,316,325,317
T078,L,T008,test,3,10,11,2,325,326,317
T078,L,T008,test,4,2,11,3,317,326,318
T078,L,T008,test,5,11,12,3,326,327,318
T078,L,T008,test,6,3,12,4,318,327,319
T078,L,T008,test,7,12,13,4,327,328,319
T078,L,T008,test,8,4,13,5,319,328,320
T078,L,T008,test,9,13,14,5,328,329,320
T078,L,T008,test,10,5,14,6,320,329,321
T078,L,T008,test,11,14,15,6,329,330,321
T078,L,T008,test,12,6,15,7,321,330,322
T078,L,T008,test,13,15,16,7,330,331,322
T078,L,T008,test,14,7,16,8,322,331,323
T078,L,T008,test,15,9,17,10,324,332,325
T078,L,T008,test,16,17,18,10,332,333,325
T078,L,T008,test,17,10,18,11,325,333,326
T078,L,T008,test,18,18,19,11,333,334,326
T078,L,T008,test,19,11,19,12,326,334,327
T078,L,T008,test,20,19,20,12,334,335,327
T078,L,T008,test,21,12,20,13,327,335,328
T078,L,T008,test,22,20,21,13,335,336,328
T078,L,T008,test,23,13,21,14,328,336,329
T078,L,T008,test,24,21,22,14,336,337,329
T078,L,T008,test,25,14,22,15,329,337,330
T078,L,T008,test,26,22,23,15,337,338,330
T078,L,T008,test,27,15,23,16,330,338,331
T078,L,T008,test,28,17,24,18,332,339,333
T078,L,T008,test,29,24,25,18,339,340,333
T078,L,T008,test,30,18,25,19,333,340,334
T078,L,T008,test,31,25,26,19,340,341,334
T078,L,T008,test,32,19,26,20,334,341,335
T078,L,T008,test,33,26,27,20,341,342,335
T078,L,T008,test,34,20,27,21,335,342,336
T078,L,T008,test,35,27,28,21,342,343,336
T078,L,T008,test,36,21,28,22,336,343,337
T078,L,T008,test,37,28,29,22,343,344,337
T078,L,T008,test,38,22,29,23,337,344,338
T078,L,T008,test,39,24,30,25,339,345,340
T078,L,T008,test,40,30,31,25,345,346,340
T078,L,T008,test,41,25,31,26,340,346,341
T078,L,T008,test,42,31,32,26,346,347,341
T078,L,T008,test,43,26,32,27,341,347,342
T078,L,T008,test,44,32,33,27,347,348,342
T078,L,T008,test,45,27,33,28,342,348,343
T078,L,T008,test,46,33,34,28,348,349,343
T078,L,T008,test,47,28,34,29,343,349,344
T078,L,T008,test,48,30,35,31,345,350,346
T078,L,T008,test,49,35,36,31,350,351,346
T078,L,T008,test,50,31,36,32,346,351,347
T078,L,T008,test,51,36,37,32,351,352,347
T078,L,T008,test,52,32,37,33,347,352,348
T078,L,T008,test,53,37,38,33,352,353,348
T078,L,T008,test,54,33,38,34,348,353,349
T078,L,T008,test,55,35,39,36,350,354,351
T078,L,T008,test,56,39,40,36,354,355,351
T078,L,T008,test,57,36,40,37,351,355,352
T078,L,T008,test,58,40,41,37,355,356,352
T078,L,T008,test,59,37,41,38,352,356,353
T078,L,T008,test,60,39,42,40,354,357,355
T078,L,T008,test,61,42,43,40,357,358,355
T078,L,T008,test,62,40,43,41,355,358,356
T078,L,T008,test,63,42,44,43,357,359,358
T078,L,T009,test,0,0,9,1,360,369,361
T078,L,T009,test,1,9,10,1,369,370,361
T078,L,T009,test,2,1,10,2,361,370,362
T078,L,T009,test,3,10,11,2,370,371,362
T078,L,T009,test,4,2,11,3,362,371,363
T078,L,T009,test,5,11,12,3,371,372,363
T078,L,T009,test,6,3,12,4,363,372,364
T078,L,T009,test,7,12,13,4,372,373,364
T078,L,T009,test,8,4,13,5,364,373,365
T078,L,T009,test,9,13,14,5,373,374,365
T078,L,T009,test,10,5,14,6,365,374,366
T078,L,T009,test,11,14,15,6,374,375,366
T078,L,T009,test,12,6,15,7,366,375,367
T078,L,T009,test,13,15,16,7,375,376,367
T078,L,T009,test,14,7,16,8,367,376,368
T078,L,T009,test,15,9,17,10,369,377,370
T078,L,T009,test,16,17,18,10,377,378,370
T078,L,T009,test,17,10,18,11,370,378,371
T078,L,T009,test,18,18,19,11,378,379,371
T078,L,T009,test,19,11,19,12,371,379,372
T078,L,T009,test,20,19,20,12,379,380,372
T078,L,T009,test,21,12,20,13,372,380,373
T078,L,T009,test,22,20,21,13,380,381,373
T078,L,T009,test,23,13,21,14,373,381,374
T078,L,T009,test,24,21,22,14,381,382,374
T078,L,T009,test,25,14,22,15,374,382,375
T078,L,T009,test,26,22,23,15,382,383,375
T078,L,T009,test,27,15,23,16,375,383,376
T078,L,T009,test,28,17,24,18,377,384,378
T078,L,T009,test,29,24,25,18,384,385,378
T078,L,T009,test,30,18,25,19,378,385,379
T078,L,T009,test,31,25,26,19,385,386,379
T078,L,T009,test,32,19,26,20,379,386,380
T078,L,T009,test,33,26,27,20,386,387,380
T078,L,T009,test,34,20,27,21,380,387,381
T078,L,T009,test,35,27,28,21,387,388,381
T078,L,T009,test,36,21,28,22,381,388,382
T078,L,T009,test,37,28,29,22,388,389,382
T078,L,T009,test,38,22,29,23,382,389,383
T078,L,T009,test,39,24,30,25,384,390,385
T078,L,T009,test,40,30,31,25,390,391,385
T078,L,T009,test,41,25,31,26,385,391,386
T078,L,T009,test,42,31,32,26,391,392,386
T078,L,T009,test,43,26,32,27,386,392,387
T078,L,T009,test,44,32,33,27,392,393,387
T078,L,T009,test,45,27,33,28,387,393,388
T078,L,T009,test,46,33,34,28,393,394,388
T078,L,T009,test,47,28,34,29,388,394,389
T078,L,T009,test,48,30,35,31,390,395,391
T078,L,T009,test,49,35,36,31,395,396,391
T078,L,T009,test,50,31,36,32,391,396,392
T078,L,T009,test,51,36,37,32,396,397,392
T078,L,T009,test,52,32,37,33,392,397,393
T078,L,T009,test,53,37,38,33,397,398,393
T078,L,T009,test,54,33,38,34,393,398,394
T078,L,T009,test,55,35,39,36,395,399,396
T078,L,T009,test,56,39,40,36,399,400,396
T078,L,T009,test,57,36,40,37,396,400,397
T078,L,T009,test,58,40,41,37,400,401,397
T078,L,T009,test,59,37,41,38,397,401,398
T078,L,T009,test,60,39,42,40,399,402,400
T078,L,T009,test,61,42,43,40,402,403,400
T078,L,T009,test,62,40,43,41,400,403,401
T078,L,T009,test,63,42,44,43,402,404,403
T078,L,T010,test,0,0,9,1,405,414,406
T078,L,T010,test,1,9,10,1,414,415,406
T078,L,T010,test,2,1,10,2,406,415,407
